"site","year","dist","rdtype","standsz","n7","n6","n5","n4","n3","n2","n1","n0","s7","s6","s5","s4","s3","s2","s1","s0","e7","e6","e5","e4","e3","e2","e1","e0","w7","w6","w5","w4","w3","w2","w1","w0","canopyhht","treeden","shrubden","highcancov","dechigh","subcancov","decsubc","undercov","decund","grcov","treesp1","treesp2","treesp3","treesp4","treesp5","shrubsp1","shrubsp2","shrubsp3","shrubsp4","shrubsp5","special1","special2","special3","topogr","date","obs"
1526,2003,,,,0.00,0.00,0.00,80.00,80.00,100.00,100.00,,0.00,0.00,0.00,50.00,60.00,80.00,90.00,,0.00,0.00,0.00,80.00,90.00,90.00,100.00,,0.00,0.00,0.00,70.00,60.00,70.00,90.00,,10.00,4.00,3.00,70.00,0.00,60.00,0.00,40.00,90.00,100.00,241.00,316.00,12.00,,,22.00,319.00,316.00,,,,,,,,
1023,2003,,,,0.00,0.00,10.00,0.00,60.00,100.00,100.00,,0.00,0.00,10.00,0.00,10.00,40.00,40.00,,0.00,0.00,10.00,0.00,0.00,10.00,20.00,,0.00,0.00,0.00,0.00,0.00,90.00,100.00,,18.00,2.00,3.00,30.00,100.00,10.00,100.00,40.00,100.00,80.00,125.00,316.00,,,,22.00,833.00,746.00,,,,,,,,
1024,2003,,,,0.00,0.00,10.00,0.00,0.00,80.00,100.00,,0.00,0.00,10.00,10.00,20.00,80.00,100.00,,0.00,0.00,10.00,10.00,10.00,40.00,80.00,,0.00,0.00,10.00,0.00,70.00,70.00,100.00,,17.00,4.00,4.00,80.00,0.00,0.00,0.00,90.00,100.00,100.00,125.00,,,,,22.00,833.00,,,,,,,,,
1022,2003,,,,0.00,0.00,20.00,0.00,30.00,90.00,100.00,,0.00,0.00,10.00,0.00,0.00,90.00,100.00,,0.00,0.00,10.00,0.00,0.00,10.00,40.00,,0.00,0.00,20.00,30.00,50.00,50.00,30.00,,16.00,3.00,3.00,60.00,0.00,0.00,0.00,60.00,100.00,100.00,125.00,,,,,22.00,833.00,6.00,,,,,,,,
1021,2003,,,,0.00,0.00,0.00,0.00,0.00,40.00,40.00,,0.00,0.00,10.00,10.00,0.00,30.00,40.00,,0.00,0.00,10.00,0.00,20.00,40.00,70.00,,0.00,0.00,10.00,0.00,20.00,60.00,80.00,,16.00,3.00,4.00,40.00,0.00,10.00,0.00,70.00,,90.00,125.00,833.00,,,,22.00,833.00,,,,,,,,,
1015,2003,,3.00,,0.00,0.00,40.00,40.00,30.00,80.00,100.00,,0.00,0.00,60.00,70.00,70.00,100.00,100.00,,0.00,0.00,40.00,60.00,60.00,80.00,100.00,,0.00,0.00,40.00,20.00,50.00,50.00,80.00,,17.00,3.00,5.00,60.00,95.00,40.00,100.00,90.00,100.00,90.00,833.00,375.00,316.00,129.00,125.00,375.00,22.00,833.00,375.00,,,,,,,
1014,2003,,3.00,,0.00,0.00,20.00,40.00,40.00,20.00,20.00,,0.00,0.00,40.00,10.00,20.00,70.00,90.00,,0.00,0.00,50.00,60.00,80.00,100.00,100.00,,0.00,0.00,60.00,60.00,70.00,70.00,90.00,,17.00,3.00,4.00,70.00,0.00,60.00,0.00,80.00,0.00,90.00,833.00,318.00,316.00,375.00,,22.00,316.00,833.00,746.00,375.00,,,,,,
1013,2003,,3.00,,0.00,0.00,10.00,10.00,40.00,90.00,100.00,,0.00,0.00,40.00,40.00,60.00,60.00,100.00,,0.00,0.00,50.00,50.00,40.00,40.00,60.00,,0.00,0.00,40.00,30.00,60.00,100.00,100.00,,15.00,4.00,4.00,90.00,10.00,70.00,0.00,80.00,0.00,90.00,833.00,375.00,129.00,316.00,,22.00,375.00,746.00,316.00,,,,,,,
1005,2003,,,,0.00,0.00,0.00,40.00,40.00,20.00,30.00,,0.00,0.00,30.00,10.00,40.00,50.00,50.00,,0.00,0.00,50.00,60.00,60.00,90.00,100.00,,0.00,0.00,40.00,60.00,60.00,90.00,100.00,,11.00,4.00,2.00,80.00,0.00,20.00,100.00,30.00,100.00,60.00,125.00,746.00,763.00,,,22.00,763.00,,,,,,,,,
1004,2003,,,,0.00,0.00,30.00,60.00,70.00,60.00,90.00,,0.00,0.00,10.00,10.00,10.00,70.00,70.00,,0.00,0.00,10.00,30.00,50.00,80.00,100.00,,0.00,0.00,40.00,50.00,80.00,100.00,90.00,,17.00,4.00,4.00,70.00,10.00,80.00,80.00,100.00,100.00,70.00,125.00,746.00,129.00,,,746.00,833.00,763.00,,,,,,,,
1009,2003,,,,0.00,0.00,0.00,0.00,0.00,10.00,40.00,,0.00,0.00,0.00,0.00,10.00,10.00,70.00,,0.00,0.00,0.00,0.00,0.00,10.00,20.00,,0.00,0.00,0.00,0.00,0.00,40.00,40.00,,0.00,1.00,3.00,0.00,0.00,0.00,0.00,40.00,100.00,90.00,125.00,,,,,22.00,746.00,105.00,,,,,,,,
1008,2003,,,,0.00,0.00,0.00,0.00,10.00,10.00,20.00,,0.00,0.00,0.00,10.00,0.00,20.00,30.00,,0.00,0.00,0.00,0.00,0.00,30.00,50.00,,0.00,0.00,0.00,0.00,0.00,10.00,40.00,,17.00,1.00,2.00,5.00,0.00,0.00,0.00,30.00,100.00,90.00,125.00,,,,,22.00,833.00,746.00,,,,,,,,
1007,2003,,,,0.00,0.00,0.00,0.00,0.00,10.00,40.00,,0.00,0.00,50.00,30.00,30.00,40.00,70.00,,0.00,0.00,10.00,40.00,20.00,40.00,70.00,,0.00,0.00,0.00,20.00,0.00,30.00,40.00,,17.00,2.00,4.00,30.00,0.00,10.00,100.00,80.00,100.00,90.00,129.00,125.00,746.00,105.00,,22.00,746.00,316.00,,,,,,,,
1434,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,100.00,0.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,
1435,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,100.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
213,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,2.00,5.00,30.00,0.00,20.00,100.00,100.00,100.00,100.00,125.00,833.00,375.00,,,22.00,833.00,,,,10.00,9.00,,,,
214,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,4.00,5.00,70.00,0.00,10.00,100.00,90.00,100.00,100.00,129.00,125.00,375.00,833.00,,22.00,833.00,,,,10.00,9.00,,,,
215,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,2.00,4.00,40.00,0.00,30.00,100.00,80.00,100.00,100.00,125.00,375.00,833.00,,,22.00,833.00,746.00,,,10.00,9.00,,,,
216,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,3.00,4.00,60.00,0.00,30.00,100.00,100.00,100.00,100.00,125.00,375.00,802.00,,,22.00,746.00,833.00,,,10.00,9.00,,,,
217,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,2.00,4.00,30.00,0.00,30.00,70.00,70.00,100.00,100.00,125.00,802.00,,,,22.00,802.00,746.00,,,10.00,9.00,,,,
3032,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,0.00,100.00,0.00,,0.00,,100.00,100.00,100.00,,,,,,920.00,746.00,802.00,,,4.00,,,,,
3031,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,1.00,3.00,10.00,100.00,20.00,100.00,40.00,20.00,100.00,375.00,746.00,,,,105.00,920.00,22.00,833.00,,9.00,,,,,
3030,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,1.00,2.00,20.00,100.00,10.00,100.00,20.00,100.00,100.00,746.00,375.00,129.00,71.00,,22.00,746.00,352.00,920.00,,11.00,4.00,,,,
2,1992,0.00,,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,3.00,3.00,1.00,0.00,0.00,,1.00,,2.00,125.00,105.00,95.00,,,22.00,,,,,3.00,,,5.00,,
2,1993,0.00,2.00,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,3.00,4.00,2.00,0.00,1.00,1.00,3.00,2.00,3.00,125.00,,,,,22.00,105.00,375.00,125.00,129.00,,,,5.00,,
2,1994,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,3.00,3.00,60.00,0.00,10.00,100.00,60.00,60.00,90.00,125.00,375.00,,,,22.00,125.00,920.00,375.00,105.00,3.00,,,,,
2,1995,0.00,1.00,63.00,0.00,0.00,40.00,30.00,30.00,30.00,20.00,90.00,0.00,0.00,20.00,10.00,10.00,10.00,20.00,90.00,0.00,0.00,10.00,10.00,30.00,30.00,20.00,90.00,0.00,10.00,40.00,30.00,30.00,30.00,20.00,90.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-926,1992,350.00,,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,3.00,4.00,1.00,1.00,2.00,,2.00,,3.00,129.00,125.00,763.00,94.00,105.00,22.00,74.00,57.00,340.00,920.00,4.00,7.00,,3.00,,
-926,1993,1000.00,1.00,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,3.00,5.00,2.00,2.00,1.00,3.00,3.00,3.00,3.00,129.00,746.00,763.00,743.00,,22.00,746.00,743.00,51.00,71.00,2.00,3.00,4.00,6.00,,
-926,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,3.00,5.00,80.00,90.00,20.00,100.00,90.00,100.00,90.00,746.00,129.00,125.00,105.00,544.00,22.00,763.00,,,,,,,,,
-926,1995,350.00,3.00,78.00,0.00,20.00,40.00,50.00,30.00,80.00,70.00,30.00,0.00,20.00,70.00,50.00,40.00,70.00,70.00,40.00,0.00,20.00,80.00,70.00,30.00,80.00,70.00,30.00,0.00,20.00,80.00,50.00,20.00,70.00,80.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-135,1991,150.00,,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,3.00,4.00,2.00,3.00,1.00,,2.00,,2.00,375.00,316.00,833.00,823.00,,22.00,970.00,316.00,496.00,,2.00,4.00,,6.00,,
-135,1992,800.00,,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,2.00,5.00,0.00,3.00,0.00,,3.00,,3.00,802.00,375.00,746.00,,,743.00,22.00,,,,2.00,4.00,9.00,6.00,,
-134,1991,60.00,,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,3.00,4.00,2.00,3.00,1.00,,3.00,,2.00,375.00,316.00,,,,22.00,75.00,319.00,496.00,,2.00,4.00,,5.00,,
-134,1992,800.00,,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,3.00,5.00,2.00,3.00,1.00,,3.00,,2.00,746.00,375.00,316.00,,,22.00,316.00,496.00,,,2.00,4.00,,6.00,,
-133,1991,0.00,,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,3.00,3.00,1.00,3.00,1.00,,2.00,,2.00,375.00,833.00,316.00,,,316.00,22.00,496.00,,,,,,2.00,,
-133,1992,500.00,,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,2.00,5.00,0.00,2.00,0.00,,3.00,,3.00,125.00,746.00,833.00,316.00,,55.00,746.00,743.00,,,2.00,4.00,9.00,6.00,,
-132,1991,350.00,,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,2.00,4.00,1.00,3.00,2.00,,3.00,,3.00,746.00,833.00,,,,22.00,746.00,763.00,,,3.00,4.00,,5.00,,
-132,1992,250.00,,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,2.00,5.00,1.00,3.00,1.00,,3.00,,2.00,746.00,,,,,746.00,22.00,,,,2.00,4.00,9.00,5.00,,
-132,1994,320.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,2.00,4.00,20.00,100.00,0.00,,70.00,100.00,90.00,746.00,,,,,746.00,22.00,496.00,,,2.00,4.00,11.00,,,
-132,1995,100.00,2.00,44.00,0.00,0.00,10.00,10.00,10.00,100.00,90.00,100.00,0.00,0.00,10.00,10.00,20.00,90.00,90.00,100.00,0.00,0.00,20.00,20.00,20.00,90.00,80.00,90.00,0.00,0.00,20.00,20.00,20.00,100.00,90.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-131,1991,100.00,,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,2.00,4.00,1.00,3.00,1.00,,3.00,,3.00,746.00,129.00,823.00,,,22.00,920.00,833.00,,,3.00,,,5.00,,
-131,1992,100.00,,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,3.00,5.00,1.00,3.00,1.00,,3.00,,3.00,746.00,129.00,802.00,,,746.00,22.00,,,,2.00,4.00,9.00,5.00,,
-131,1994,100.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,2.00,5.00,20.00,50.00,0.00,,100.00,90.00,100.00,746.00,129.00,,,,22.00,746.00,51.00,,,2.00,4.00,11.00,,,
-131,1995,200.00,2.00,44.00,0.00,0.00,20.00,20.00,30.00,90.00,80.00,70.00,0.00,0.00,10.00,10.00,40.00,100.00,80.00,60.00,0.00,0.00,10.00,10.00,20.00,90.00,80.00,80.00,0.00,0.00,0.00,0.00,30.00,90.00,90.00,70.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-130,1991,100.00,,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,2.00,4.00,1.00,3.00,1.00,,3.00,,3.00,375.00,543.00,129.00,823.00,,22.00,763.00,746.00,,,3.00,4.00,,3.00,,
-130,1992,100.00,,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,2.00,5.00,1.00,3.00,1.00,,3.00,,3.00,375.00,129.00,802.00,,,22.00,920.00,746.00,,,9.00,,,5.00,,
-130,1994,100.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,3.00,5.00,30.00,20.00,0.00,,100.00,90.00,100.00,125.00,833.00,746.00,,,22.00,746.00,544.00,,,2.00,4.00,11.00,,,
-130,1995,100.00,2.00,44.00,0.00,0.00,10.00,20.00,70.00,90.00,90.00,100.00,0.00,0.00,10.00,10.00,30.00,70.00,90.00,100.00,0.00,0.00,50.00,50.00,70.00,80.00,90.00,100.00,0.00,0.00,50.00,50.00,70.00,90.00,90.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1991,200.00,,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,3.00,4.00,2.00,0.00,1.00,,3.00,,3.00,125.00,,,,,22.00,316.00,375.00,920.00,12.00,3.00,,,5.00,,
1,1992,0.00,,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,3.00,3.00,2.00,0.00,0.00,,1.00,,2.00,125.00,95.00,12.00,,,22.00,,,,,3.00,,,5.00,,
1,1993,0.00,2.00,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,3.00,2.00,3.00,0.00,1.00,2.00,2.00,3.00,3.00,125.00,316.00,94.00,,,22.00,316.00,920.00,,,,,,5.00,,
1,1994,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,3.00,3.00,70.00,0.00,10.00,90.00,50.00,100.00,90.00,125.00,316.00,,,,22.00,,,,,3.00,,,,,
1,1995,0.00,1.00,63.00,0.00,10.00,60.00,30.00,20.00,20.00,20.00,90.00,0.00,10.00,50.00,30.00,20.00,20.00,30.00,90.00,0.00,10.00,60.00,30.00,20.00,20.00,20.00,90.00,0.00,10.00,60.00,30.00,20.00,30.00,30.00,90.00,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1991,400.00,,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,3.00,4.00,1.00,0.00,1.00,,2.00,,3.00,125.00,,,,,105.00,22.00,12.00,920.00,375.00,3.00,,,5.00,,
3,1991,600.00,,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,3.00,3.00,1.00,1.00,1.00,,2.00,,2.00,125.00,375.00,,,,22.00,920.00,105.00,375.00,,3.00,,,5.00,,
